subjID	participant	shift	activity	ballooncount	explosion	pumps
15N12	15	N1	2	14	1	64
15N12	15	N1	2	15	1	64
15N12	15	N1	2	16	0	64
15N12	15	N1	2	17	1	64
15N12	15	N1	2	18	0	64
15N12	15	N1	2	19	1	64
15N12	15	N1	2	20	0	64
15N12	15	N1	2	21	1	64
15N12	15	N1	2	22	0	64
15N12	15	N1	2	23	0	64
15N12	15	N1	2	24	0	64
15N12	15	N1	2	25	0	64
15N12	15	N1	2	26	0	64
15N12	15	N1	2	27	1	64
15N12	15	N1	2	28	1	64
15N12	15	N1	2	29	0	64
15N12	15	N1	2	30	0	64
15N21	15	N2	1	1	0	100
15N21	15	N2	1	2	1	64
15N21	15	N2	1	3	0	64
15N21	15	N2	1	4	0	100
15N21	15	N2	1	5	0	64
15N21	15	N2	1	6	1	64
15N21	15	N2	1	7	1	64
15N21	15	N2	1	8	0	64
15N21	15	N2	1	9	0	64
15N21	15	N2	1	10	1	64
15N21	15	N2	1	11	0	64
15N21	15	N2	1	12	0	64
15N21	15	N2	1	13	1	64
15N21	15	N2	1	14	1	64
15N21	15	N2	1	15	1	64
15N21	15	N2	1	16	0	64
15N21	15	N2	1	17	0	64
15N21	15	N2	1	18	0	100
15N21	15	N2	1	19	1	64
15N21	15	N2	1	20	1	100
15N21	15	N2	1	21	1	64
15N21	15	N2	1	22	0	64
15N21	15	N2	1	23	0	64
15N21	15	N2	1	24	0	64
15N21	15	N2	1	25	1	100
15N21	15	N2	1	26	1	64
15N21	15	N2	1	27	1	64
15N21	15	N2	1	28	1	64
15N21	15	N2	1	29	0	64
15N21	15	N2	1	30	1	64
15N22	15	N2	2	1	1	64
15N22	15	N2	2	2	1	64
15N22	15	N2	2	3	0	64
15N22	15	N2	2	4	0	64
15N22	15	N2	2	5	0	64
15N22	15	N2	2	6	0	64
15N22	15	N2	2	7	0	64
15N22	15	N2	2	8	1	64
15N22	15	N2	2	9	0	64
15N22	15	N2	2	10	1	64
15N22	15	N2	2	11	1	64
15N22	15	N2	2	12	0	64
15N22	15	N2	2	13	1	64
15N22	15	N2	2	14	1	64
15N22	15	N2	2	15	0	64
15N22	15	N2	2	16	0	64
15N22	15	N2	2	17	0	64
15N22	15	N2	2	18	1	64
15N22	15	N2	2	19	0	64
15N22	15	N2	2	20	1	64
15N22	15	N2	2	21	1	64
15N22	15	N2	2	22	0	64
15N22	15	N2	2	23	1	64
15N22	15	N2	2	24	0	64
15N22	15	N2	2	25	1	64
15N22	15	N2	2	26	0	64
15N22	15	N2	2	27	0	64
15N22	15	N2	2	28	0	64
15N22	15	N2	2	29	0	64
15N22	15	N2	2	30	0	64
16D11	16	D1	1	1	0	64
16D11	16	D1	1	2	0	30
16D11	16	D1	1	3	1	64
16D11	16	D1	1	4	1	60
16D11	16	D1	1	5	0	30
16D11	16	D1	1	6	1	100
16D11	16	D1	1	7	0	64
16D11	16	D1	1	8	0	50
16D11	16	D1	1	9	0	48
16D11	16	D1	1	10	0	21
16D11	16	D1	1	11	0	50
16D11	16	D1	1	12	1	80
16D11	16	D1	1	13	0	21
16D11	16	D1	1	14	0	42
16D11	16	D1	1	15	1	37
16D11	16	D1	1	16	0	38
16D11	16	D1	1	17	0	80
16D11	16	D1	1	18	1	72
16D11	16	D1	1	19	1	55
16D11	16	D1	1	20	0	22
16D11	16	D1	1	21	0	64
16D11	16	D1	1	22	1	64
16D11	16	D1	1	23	1	40
16D11	16	D1	1	24	1	100
16D11	16	D1	1	25	1	64
16D11	16	D1	1	26	1	50
16D11	16	D1	1	27	0	10
16D11	16	D1	1	28	0	64
16D11	16	D1	1	29	1	64
16D11	16	D1	1	30	1	64
16D12	16	D1	2	1	1	64
16D12	16	D1	2	2	0	68
16D12	16	D1	2	3	1	100
16D12	16	D1	2	4	1	100
16D12	16	D1	2	5	1	64
16D12	16	D1	2	6	0	22
16D12	16	D1	2	7	0	45
16D12	16	D1	2	8	0	40
16D12	16	D1	2	9	1	64
16D12	16	D1	2	10	0	30
16D12	16	D1	2	11	0	50
16D12	16	D1	2	12	0	86
16D12	16	D1	2	13	1	64
16D12	16	D1	2	14	0	64
16D12	16	D1	2	15	1	10
16D12	16	D1	2	16	0	64
16D12	16	D1	2	17	0	64
16D12	16	D1	2	18	0	72
16D12	16	D1	2	19	0	44
16D12	16	D1	2	20	1	64
16D12	16	D1	2	21	1	38
16D12	16	D1	2	22	1	37
16D12	16	D1	2	23	0	10
16D12	16	D1	2	24	0	22
16D12	16	D1	2	25	1	64
16D12	16	D1	2	26	1	64
16D12	16	D1	2	27	0	101
16D12	16	D1	2	28	0	34
16D12	16	D1	2	29	1	64
16D12	16	D1	2	30	0	64
16D21	16	D2	1	1	0	33
16D21	16	D2	1	2	1	43
16D21	16	D2	1	3	0	55
16D21	16	D2	1	4	1	72
16D21	16	D2	1	5	1	72
16D21	16	D2	1	6	0	55
16D21	16	D2	1	7	0	41
16D21	16	D2	1	8	0	12
16D21	16	D2	1	9	0	50
16D21	16	D2	1	10	0	60
16D21	16	D2	1	11	1	70
16D21	16	D2	1	12	1	70
16D21	16	D2	1	13	0	40
16D21	16	D2	1	14	0	70
16D21	16	D2	1	15	1	90
16D21	16	D2	1	16	1	90
16D21	16	D2	1	17	0	90
16D21	16	D2	1	18	0	30
16D21	16	D2	1	19	0	80
16D21	16	D2	1	20	0	40
16D21	16	D2	1	21	0	60
16D21	16	D2	1	22	1	90
16D21	16	D2	1	23	0	50
16D21	16	D2	1	24	0	50
16D21	16	D2	1	25	1	80
16D21	16	D2	1	26	0	20
16D21	16	D2	1	27	1	90
16D21	16	D2	1	28	1	50
16D21	16	D2	1	29	1	50
16D21	16	D2	1	30	1	20
16D22	16	D2	2	1	1	90
16D22	16	D2	2	2	1	90
16D22	16	D2	2	3	0	45
16D22	16	D2	2	4	1	78
16D22	16	D2	2	5	1	40
16D22	16	D2	2	6	1	90
16D22	16	D2	2	7	1	60
16D22	16	D2	2	8	1	60
16D22	16	D2	2	9	1	60
16D22	16	D2	2	10	0	30
16D22	16	D2	2	11	0	40
16D22	16	D2	2	12	0	50
16D22	16	D2	2	13	0	77
16D22	16	D2	2	14	1	60
16D22	16	D2	2	15	0	50
16D22	16	D2	2	16	0	50
16D22	16	D2	2	17	1	40
16D22	16	D2	2	18	1	70
16D22	16	D2	2	19	0	90
16D22	16	D2	2	20	1	30
16D22	16	D2	2	21	0	30
16D22	16	D2	2	22	0	50
16D22	16	D2	2	23	1	40
16D22	16	D2	2	24	0	40
16D22	16	D2	2	25	0	90
16D22	16	D2	2	26	1	90
16D22	16	D2	2	27	1	90
16D22	16	D2	2	28	1	90
16D22	16	D2	2	29	0	80
16D22	16	D2	2	30	1	90
16N11	16	N1	1	1	1	80
16N11	16	N1	1	2	0	60
16N11	16	N1	1	3	1	30
16N11	16	N1	1	4	1	90
16N11	16	N1	1	5	0	60
16N11	16	N1	1	6	1	90
16N11	16	N1	1	7	0	50
16N11	16	N1	1	8	1	70
16N11	16	N1	1	9	0	70
16N11	16	N1	1	10	0	30
16N11	16	N1	1	11	1	90
16N11	16	N1	1	12	0	80
16N11	16	N1	1	13	1	50
16N11	16	N1	1	14	0	60
16N11	16	N1	1	15	1	90
16N11	16	N1	1	16	1	90
16N11	16	N1	1	17	0	40
16N11	16	N1	1	18	1	80
16N11	16	N1	1	19	1	80
16N11	16	N1	1	20	1	80
16N11	16	N1	1	21	1	70
16N11	16	N1	1	22	0	60
16N11	16	N1	1	23	0	80
16N11	16	N1	1	24	1	80
16N11	16	N1	1	25	0	60
16N11	16	N1	1	26	1	80
16N11	16	N1	1	27	0	70
16N11	16	N1	1	28	0	60
16N11	16	N1	1	29	1	80
16N11	16	N1	1	30	0	80
16N12	16	N1	2	1	1	30
16N12	16	N1	2	2	0	64
16N12	16	N1	2	3	1	90
16N12	16	N1	2	4	0	60
16N12	16	N1	2	5	0	40
16N12	16	N1	2	6	1	90
16N12	16	N1	2	7	1	90
16N12	16	N1	2	8	0	20
16N12	16	N1	2	9	0	90
16N12	16	N1	2	10	1	60
16N12	16	N1	2	11	0	50
16N12	16	N1	2	12	1	90
16N12	16	N1	2	13	1	90
16N12	16	N1	2	14	1	90
16N12	16	N1	2	15	1	70
16N12	16	N1	2	16	1	70
16N12	16	N1	2	17	1	70
16N12	16	N1	2	18	1	90
16N12	16	N1	2	19	1	90
16N12	16	N1	2	20	0	90
16N12	16	N1	2	21	1	40
16N12	16	N1	2	22	0	40
16N12	16	N1	2	23	1	60
16N12	16	N1	2	24	1	90
16N12	16	N1	2	25	1	60
16N12	16	N1	2	26	1	50
16N12	16	N1	2	27	0	90
16N12	16	N1	2	28	0	90
16N12	16	N1	2	29	1	90
16N12	16	N1	2	30	1	90
16N21	16	N2	1	1	1	100
16N21	16	N2	1	2	1	100
16N21	16	N2	1	3	1	90
16N21	16	N2	1	4	1	90
16N21	16	N2	1	5	1	90
16N21	16	N2	1	6	1	90
16N21	16	N2	1	7	1	90
16N21	16	N2	1	8	1	90
16N21	16	N2	1	9	0	60
16N21	16	N2	1	10	0	80
16N21	16	N2	1	11	1	70
16N21	16	N2	1	12	0	70
16N21	16	N2	1	13	0	80
16N21	16	N2	1	14	1	50
16N21	16	N2	1	15	0	50
16N21	16	N2	1	16	0	70
16N21	16	N2	1	17	1	40
16N21	16	N2	1	18	1	40
16N21	16	N2	1	19	1	80
16N21	16	N2	1	20	0	10
16N21	16	N2	1	21	1	70
16N21	16	N2	1	22	1	30
16N21	16	N2	1	23	1	30
16N21	16	N2	1	24	1	40
16N21	16	N2	1	25	0	50
16N21	16	N2	1	26	1	100
16N21	16	N2	1	27	1	100
16N21	16	N2	1	28	1	90
16N21	16	N2	1	29	1	90
16N21	16	N2	1	30	1	90
16N22	16	N2	2	1	1	60
16N22	16	N2	2	2	1	60
16N22	16	N2	2	3	1	90
16N22	16	N2	2	4	0	90
16N22	16	N2	2	5	0	70
16N22	16	N2	2	6	0	70
16N22	16	N2	2	7	0	40
16N22	16	N2	2	8	1	60
16N22	16	N2	2	9	1	60
16N22	16	N2	2	10	1	60
16N22	16	N2	2	11	1	90
16N22	16	N2	2	12	0	60
16N22	16	N2	2	13	1	80
16N22	16	N2	2	14	0	80
16N22	16	N2	2	15	0	30
16N22	16	N2	2	16	0	90
16N22	16	N2	2	17	1	40
16N22	16	N2	2	18	0	50
16N22	16	N2	2	19	1	80
16N22	16	N2	2	20	1	80
16N22	16	N2	2	21	1	80
16N22	16	N2	2	22	0	40
16N22	16	N2	2	23	0	70
16N22	16	N2	2	24	1	30
16N22	16	N2	2	25	0	30
16N22	16	N2	2	26	0	60
16N22	16	N2	2	27	0	70
16N22	16	N2	2	28	0	50
16N22	16	N2	2	29	0	100
16N22	16	N2	2	30	1	100
03D11	03	D1	1	1	1	70
03D11	03	D1	1	2	0	65
03D11	03	D1	1	3	0	64
03D11	03	D1	1	4	0	63
03D11	03	D1	1	5	0	62
03D11	03	D1	1	6	0	61
03D11	03	D1	1	7	0	60
03D11	03	D1	1	8	1	59
03D11	03	D1	1	9	0	60
03D11	03	D1	1	10	1	59
03D11	03	D1	1	11	0	60
03D11	03	D1	1	12	1	59
03D11	03	D1	1	13	1	58
03D11	03	D1	1	14	1	59
03D11	03	D1	1	15	1	60
03D11	03	D1	1	16	1	61
03D11	03	D1	1	17	0	62
03D11	03	D1	1	18	0	63
